,Hotel name,Marks,Region City,Performances,Reviews,Price,Distances,Discriptions,Stars,Breakfast,Guests reviews:
15186,Cecil Hotel,7.8,"Psiri, Athens",Good ,"1,902 reviews",Price 170 zł,0.8 km from center,Single Room,2,Breakfast included,Location 9.5
15187,Acropolis Hill Hotel,8.3,"Koukaki, Athens",Very Good ,591 reviews,Price 306 zł,1.4 km from center,Standard Double or Twin Room,3,Breakfast included,
15188,Athens Center Square Hotel,8.3,"Psiri, Athens",Very Good ,"1,017 reviews",Price 238 zł,0.9 km from center,Partner offer option,3,Breakfast included,
15189,Athos Hotel,8.1,"Plaka, Athens",Very Good ,761 reviews,Price 359 zł,350 m from center,Standard Twin Room,3,,Location 9.5
15190,Homely Apartments by Athens Stay,7.0,"Athens City Centre, Athens",Good ,786 reviews,Original price 235 zł. Current price 188 zł.,1.6 km from center,Standard Apartment,3,,
15191,Attalos Hotel,8.7,"Psiri, Athens",Excellent ,"2,336 reviews",Original price 283 zł. Current price 242 zł.,0.8 km from center,Single Room,3,,Location 9.7
15192,Hotel Byron,7.2,"Plaka, Athens",Good ,"1,740 reviews",Price 171 zł,0.7 km from center,Small Single Room,2,,Location 9.7
15193,Athinais Hotel,8.6,"Athens City Centre, Athens",Excellent ,500 reviews,Price 335 zł,2.1 km from center,Twin Room,3,Breakfast included,
15194,Ermou & Athinas Suites in Monastiraki,8.4,"Monastiraki, Athens",Very Good ,62 reviews,Price 258 zł,0.8 km from center,Studio,3,,Location 9.7
15195,Hotel Giorgio,8.3,"Acharnes, Athens",Very Good ,184 reviews,Price 167 zł,9.1 km from center,Double Room,2,Breakfast included,
15196,The excellent home,9.0,"Pagkrati, Athens",Wonderful ,10 reviews,Price 247 zł,1.5 km from center,One-Bedroom Apartment,4,,
15197,Sparta Team Hotel,5.4,"Athens City Centre, Athens",Review score ,"1,353 reviews",Price 55 zł,1.1 km from center,Bed in 6-Bed Mixed Dormitory Room,1,,
15198,Tempi Hotel,8.0,"Monastiraki, Athens",Very Good ,"1,742 reviews",Price 132 zł,0.7 km from center,Budget Single Room with Shared Bathroom,1,,Location 9.7
