,Hotel name,Marks,Region City,Performances,Reviews,Price,Distances,Discriptions,Stars,Breakfast,Guests reviews:
608,Marco Polo Residence Hostal Boutique,8.5,"Moncloa-Aravaca, Madrid",Very Good ,339 reviews,Price 760 zł,1.5 km from center,Deluxe Double Room,0,,
609,Melia Madrid Princesa,8.3,"Moncloa-Aravaca, Madrid",Very Good ,"1,145 reviews","Price 1,164 zł",1.5 km from center,Twin Room,5,,
610,NH Collection Madrid Palacio de Tepa,8.7,"Madrid City Center, Madrid",Excellent ,881 reviews,"Price 1,042 zł",350 m from center,Deluxe Single Room,5,,Location 9.6
611,Hostal Madrid,8.5,"Madrid City Center, Madrid",Very Good ,"1,776 reviews",Price 615 zł,150 m from center,Interior Single Room,3,,Location 9.8
612,Hard Rock Hotel Madrid,8.9,"Arganzuela, Madrid",Excellent ,"3,331 reviews","Price 1,126 zł",1.3 km from center,Classic King Room,4,,
613,Petit Palace Alcalá,8.3,"Madrid City Center, Madrid",Very Good ,"1,665 reviews","Price 1,014 zł",400 m from center,Small Double Room (1-2 adults),4,,Location 9.7
614,Barceló Torre de Madrid,8.6,"Moncloa-Aravaca, Madrid",Excellent ,"2,433 reviews",Price 982 zł,1.1 km from center,Deluxe Room,5,,Location 9.4
615,Mayerling Hotel,8.5,"Madrid City Center, Madrid",Very Good ,"1,359 reviews","Original price 1,098 zł. Current price 878 zł.",350 m from center,Large Single Room,2,,Location 9.5
616,Hostal Madrid Paradise,6.6,"Chamartín, Madrid",Review score ,362 reviews,Price 175 zł,3.4 km from center,Bed in 6-Bed Mixed Dormitory Room,0,,
617,Petit Palace Cliper-Gran Vía,8.4,"Madrid City Center, Madrid",Very Good ,"2,370 reviews",Price 798 zł,350 m from center,Small Double Room  (1-2 Adults),3,,Location 9.7
618,Soho Boutique Opera,8.6,"Madrid City Center, Madrid",Excellent ,"3,063 reviews",Price 985 zł,450 m from center,Double or Twin Room,4,,Location 9.6
619,Hotel Fenix Gran Meliá - The Leading Hotels of the World,8.7,"Salamanca, Madrid",Excellent ,440 reviews,"Price 1,877 zł",1.6 km from center,Classic Double Room,5,,Location 9.7
620,Rafaelhoteles Ventas,7.9,"Ciudad Lineal, Madrid",Good ,"1,663 reviews",Price 526 zł,4.3 km from center,Double or Twin Room,4,,
621,"Hotel Único Madrid, Small Luxury Hotels",8.9,"Salamanca, Madrid",Excellent ,164 reviews,"Price 2,013 zł",2 km from center,Standard Double Room,5,,Location 9.8
622,Espahotel Plaza de España,8.1,"Madrid City Center, Madrid",Very Good ,"1,563 reviews",Price 783 zł,1 km from center,Standard Studio,3,,Location 9.6
623,Exe Suites 33,8.4,"Madrid City Center, Madrid",Very Good ,"1,236 reviews",Price 798 zł,0.9 km from center,Double or Twin Room,3,,Location 9.4
624,Suites Barrio de Salamanca,8.4,"Salamanca, Madrid",Very Good ,729 reviews,Price 714 zł,2.6 km from center,Double Standard,4,,Location 9.4
625,Salomé,8.9,"Madrid City Center, Madrid",Excellent ,379 reviews,Original price 934 zł. Current price 747 zł.,0.9 km from center,Double Room,3,,Location 9.7
626,Hostal Abami II,8.4,"Madrid City Center, Madrid",Very Good ,"1,192 reviews",Original price 756 zł. Current price 605 zł.,0.8 km from center,Twin Room,2,,Location 9.5
627,Hostal Avenida,8.9,"Madrid City Center, Madrid",Excellent ,826 reviews,Price 938 zł,400 m from center,Twin Room with Private Bathroom,2,,Location 9.9
628,Hilton Madrid Airport,8.2,"Barajas, Madrid",Very Good ,"1,513 reviews","Price 1,239 zł",10.7 km from center,King Hilton Guestroom,4,,
629,AC Hotel Madrid Feria by Marriott,8.7,"Hortaleza, Madrid",Excellent ,981 reviews,Price 526 zł,8.7 km from center,King Room,4,,
630,CoolRooms Palacio de Atocha,9.4,"Madrid City Center, Madrid",Wonderful ,788 reviews,"Price 1,426 zł",450 m from center,Deluxe ,4,,Location 9.6
631,Emperador,8.5,"Madrid City Center, Madrid",Very Good ,"5,046 reviews",Price 938 zł,0.7 km from center,Double or Twin Room,4,,Location 9.7
632,Abalú Boutique & Design Hotel,7.7,"Madrid City Center, Madrid",Good ,822 reviews,Price 751 zł,0.8 km from center,Double Budget,3,,
633,Hospes Puerta de Alcalá,8.8,"Salamanca, Madrid",Excellent ,"1,023 reviews","Price 1,647 zł",1.3 km from center,Deluxe Double or Twin Room,5,,Location 9.8
634,Senator Castellana,8.3,"Tetuan, Madrid",Very Good ,"1,934 reviews",Price 749 zł,4.7 km from center,Double or Twin Room,3,,
635,"Atocha Hotel Madrid, Tapestry Collection by Hilton",9.2,"Madrid City Center, Madrid",Wonderful ,271 reviews,"Price 1,004 zł",1 km from center,King Guest Room,4,,Location 9.4
636,Hotel Regina,9.2,"Madrid City Center, Madrid",Wonderful ,"10,841 reviews","Price 1,396 zł",300 m from center,Single Room,3,Breakfast included,Location 9.9
637,Hotel Miau,8.5,"Madrid City Center, Madrid",Very Good ,"1,407 reviews",Price 847 zł,400 m from center,Double Room,3,,Location 9.7
638,Hostel Napoles,4.9,"Hortaleza, Madrid",Review score ,"1,944 reviews",Price 93 zł,6.7 km from center,Bunk Bed in Mixed Dormitory Room,0,,
639,Stylish City Apartamentos,6.9,"Chamartín, Madrid",Review score ,636 reviews,Price 359 zł,3.8 km from center,Studio (2 Adults),3,,
640,Posada del León de Oro Boutique Hotel,9.0,"Madrid City Center, Madrid",Wonderful ,"1,122 reviews",Price 981 zł,0.6 km from center,Double Room,4,,Location 9.7
641,"Radisson Blu Hotel, Madrid Prado",8.8,"Madrid City Center, Madrid",Excellent ,"1,270 reviews",Price 993 zł,0.9 km from center,Single Room - Interior Facing,4,,Location 9.5
642,Far Home Plaza Mayor,7.7,"Madrid City Center, Madrid",Good ,864 reviews,Original price 486 zł. Current price 413 zł.,450 m from center,Small Double Room with Shared Bathroom,1,,Location 9.3
643,Agora Juan de Austria,8.2,"Chamberi, Madrid",Very Good ,"1,452 reviews","Original price 1,272 zł. Current price 1,017 zł.",1.7 km from center,Single Room,4,,
644,Hostal Santa Ana Colors,8.3,"Madrid City Center, Madrid",Very Good ,"1,658 reviews",Price 809 zł,400 m from center,Large Double or Twin Room,2,,Location 9.6
645,NH Collection Madrid Eurobuilding,8.8,"Chamartín, Madrid",Excellent ,"1,622 reviews","Price 1,215 zł",4.9 km from center,Superior Double or Twin Room,4,Breakfast included,
646,Hotel Escuela Madrid,8.5,Madrid,Very Good ,841 reviews,Price 223 zł,12.3 km from center,Single Room,0,,
647,AngelitoMAD,7.7,"Moncloa-Aravaca, Madrid",Good ,15 reviews,Price 493 zł,1.2 km from center,Single Room,3,,Location 9.7
648,Le Petit Palü-Ópera,8.2,"Madrid City Center, Madrid",Very Good ,"1,372 reviews",Price 446 zł,0.5 km from center,Deluxe King Room,3,,Location 9.4
649,JC Rooms Santo Domingo,7.9,"Madrid City Center, Madrid",Good ,"1,779 reviews",Price 572 zł,0.6 km from center,Executive Double or Twin Room,3,,Location 9.5
650,DWO Yuste Alcalá,8.7,"San Blas, Madrid",Excellent ,424 reviews,Price 637 zł,7.1 km from center,Double Room,3,,
651,Hostal Valencia Madrid,7.9,"Madrid City Center, Madrid",Good ,"2,123 reviews",Price 563 zł,450 m from center,Double Room,3,,Location 9.7
652,Chamberí Suites,8.1,"Chamberi, Madrid",Very Good ,243 reviews,Price 724 zł,3 km from center,Studio,3,,
653,THC Gran Via Hostel,7.7,"Madrid City Center, Madrid",Good ,"1,263 reviews",Price 568 zł,0.5 km from center,Superior Double or Twin Room,1,,Location 9.4
654,Safestay Madrid,8.1,"Madrid City Center, Madrid",Very Good ,"3,051 reviews",Price 148 zł,1.3 km from center,Bed in 12-Bed Dormitory Room with Shared Bathroom,0,,
655,Hotel Barajas Plaza,7.9,"Barajas, Madrid",Good ,"2,911 reviews",Price 537 zł,12.4 km from center,Twin Room,3,,
656,Fly Rooms Madrid Airport,8.8,"Barajas, Madrid",Excellent ,854 reviews,Price 446 zł,12 km from center,Double Room,3,,
657,"Madrid Airport Suites, Affiliated by Meliá",7.6,"San Blas, Madrid",Good ,"3,214 reviews",Price 493 zł,13.9 km from center,Junior Suite,3,,
658,Petit Palace Posada del Peine,8.5,"Madrid City Center, Madrid",Very Good ,"2,438 reviews",Price 821 zł,250 m from center,Small Double Room,4,,Location 9.8
659,Petit Hostel,8.1,"Arganzuela, Madrid",Very Good ,"2,262 reviews",Price 178 zł,1.4 km from center,Bed in 6-Bed Mixed Dormitory Room,0,,
660,Room Mate Alba,9.2,"Madrid City Center, Madrid",Wonderful ,"2,650 reviews","Original price 1,236 zł. Current price 741 zł.",450 m from center,Double Room,4,,Location 9.8
661,Bob W Chueca,8.8,"Madrid City Center, Madrid",Excellent ,407 reviews,Original price 571 zł. Current price 534 zł.,0.8 km from center,Chueca Design Studio,3,,Location 9.7
662,Room Mate Alba,9.2,"Madrid City Center, Madrid",Wonderful ,"2,650 reviews","Original price 1,236 zł. Current price 741 zł.",450 m from center,Double Room,4,,Location 9.8
663,Iberostar Las Letras Gran Via,8.8,"Madrid City Center, Madrid",Excellent ,930 reviews,"Price 1,036 zł",450 m from center,Balcony Double,4,,Location 9.7
664,Hostal Granado,8.3,"Carabanchel, Madrid",Very Good ,"1,574 reviews",Price 610 zł,4.8 km from center,Twin Room with Extra Bed,3,,
665,Vincci The Mint,9.1,"Madrid City Center, Madrid",Wonderful ,"3,110 reviews","Original price 2,581 zł. Current price 2,323 zł.",0.5 km from center,Twin Room,4,,Location 9.8
666,Madrid Downtown Hostel,7.7,"Madrid City Center, Madrid",Good ,"2,240 reviews",Price 168 zł,0.6 km from center,Bunk Bed in Mixed Dormitory Room,0,,
667,Petit Palace Plaza Mayor,8.4,"Madrid City Center, Madrid",Very Good ,"2,266 reviews","Price 1,258 zł",500 m from center,Double or Twin Room with Parking,4,Breakfast included,Location 9.7
668,"InterContinental Madrid, an IHG Hotel",8.4,"Chamberi, Madrid",Very Good ,243 reviews,"Price 1,254 zł",2.5 km from center,Classic Double or Twin Room,5,,
669,Hotel Mirador Puerta del Sol,8.4,"Madrid City Center, Madrid",Very Good ,"2,080 reviews",Price 709 zł,100 m from center,Double Room with Three Extra Beds,2,,Location 9.7
670,Hotel Mercader,8.1,"Villa de Vallecas, Madrid",Very Good ,480 reviews,Price 320 zł,7.1 km from center,Double Room,4,,
671,Hostal Rincón de Sol,8.0,"Madrid City Center, Madrid",Very Good ,709 reviews,Original price 685 zł. Current price 617 zł.,150 m from center,Interior Double Room - 2 beds,3,,Location 9.5
672,The Citadel by Pillow,8.5,"Madrid City Center, Madrid",Very Good ,"1,005 reviews",Price 798 zł,0.5 km from center,Interior Double Room,1,,Location 9.6
673,Hotel Europa,8.6,"Madrid City Center, Madrid",Excellent ,"2,410 reviews",Price 774 zł,100 m from center,Double or Twin Room,3,,Location 9.7
674,Hostal Emilio Barajas,5.5,"Barajas, Madrid",Review score ,"1,421 reviews",Price 277 zł,12.2 km from center,Single Room,2,,
675,Way Hostel Madrid,8.8,"Madrid City Center, Madrid",Excellent ,697 reviews,Price 160 zł,450 m from center,Bed in 8-Bed Dormitory Room with Shared Bathroom,0,,Location 9.5
676,DWO Colours Alcalá,7.7,"San Blas, Madrid",Good ,130 reviews,Price 676 zł,7.4 km from center,Single Room,4,,
677,Ibis Styles Madrid Prado,8.6,"Madrid City Center, Madrid",Excellent ,"1,742 reviews",Price 971 zł,450 m from center,Standard Queen Room,3,,Location 9.6
678,A&Z JAVIER CABRINI,6.9,"Hortaleza, Madrid",Review score ,"2,548 reviews",Price 322 zł,7.7 km from center,Double Room with Shared Bathroom,0,,
679,Aparthotel Encasa,8.4,"Vicálvaro, Madrid",Very Good ,"1,561 reviews",Price 351 zł,9.6 km from center,Apartment,3,,
680,Hostal Alicante,7.7,"Madrid City Center, Madrid",Good ,"1,229 reviews",Price 433 zł,250 m from center,Single Room,2,,Location 9.6
681,limehome Madrid Calle de la Madera,8.6,"Madrid City Center, Madrid",Excellent ,"2,757 reviews","Original price 1,089 zł. Current price 1,018 zł.",0.8 km from center,Studio in the basement,3,,Location 9.4
682,Casual del Teatro Madrid,8.2,"Madrid City Center, Madrid",Very Good ,"1,938 reviews",Price 613 zł,300 m from center,Double Room,2,,Location 9.7
683,A&Z VILLEGAS,7.5,"Hortaleza, Madrid",Good ,"1,644 reviews",Price 329 zł,7.1 km from center,Double Room with Shared Bathroom,0,,
684,"Hotel Madrid Plaza de España, Affiliated by Meliá",8.1,"Madrid City Center, Madrid",Very Good ,"1,583 reviews",Price 915 zł,0.9 km from center,Double or Twin Room with City View,4,,Location 9.5
685,Hotel Freedom,8.5,"Madrid City Center, Madrid",Very Good ,671 reviews,Price 727 zł,0.6 km from center,Twin Room,2,,Location 9.5
686,Hostal Río Paraná,8.2,"Madrid City Center, Madrid",Very Good ,536 reviews,Price 469 zł,150 m from center,Double or Twin Room,1,,Location 9.7
687,Eurostars Suites Mirasierra,8.5,"Fuencarral-El Pardo, Madrid",Very Good ,"2,709 reviews",Price 657 zł,7.8 km from center,Deluxe Suite with Parking,5,,
688,Hostal San Blas,7.5,"Madrid City Center, Madrid",Good ,"1,319 reviews",Price 563 zł,1.1 km from center,Double  Room with One Double Bed,3,,Location 9.3
689,Compostela Suites,7.8,"San Blas, Madrid",Good ,"3,936 reviews",Price 465 zł,11 km from center,One-Bedroom Apartment (2 Adults),3,,
690,easyHotel Madrid Centro Atocha,8.3,"Arganzuela, Madrid",Very Good ,182 reviews,Price 582 zł,2.8 km from center,Standard Twin Room,3,,
691,Far Home Plaza Mayor,7.7,"Madrid City Center, Madrid",Good ,864 reviews,Original price 486 zł. Current price 413 zł.,450 m from center,Small Double Room with Shared Bathroom,1,,Location 9.3
692,Hotel Barajas Plaza,7.9,"Barajas, Madrid",Good ,"2,911 reviews",Price 537 zł,12.4 km from center,Twin Room,3,,
693,Le Petit Palü- Barco,8.2,"Madrid City Center, Madrid",Very Good ,5 reviews,Price 422 zł,0.5 km from center,Standard Double Room,3,,
694,Quatro Puerta del Sol,8.1,"Madrid City Center, Madrid",Very Good ,"1,393 reviews","Price 1,025 zł",300 m from center,Double single use,4,,Location 9.6
695,Only YOU Hotel Atocha,9.1,"Retiro, Madrid",Wonderful ,"7,742 reviews","Price 1,290 zł",1.7 km from center,Deluxe Double or Twin Room,4,,Location 9.4
696,Petit Palace Posada del Peine,8.5,"Madrid City Center, Madrid",Very Good ,"2,438 reviews",Price 821 zł,250 m from center,Small Double Room,4,,Location 9.8
697,Aloft Madrid Gran Via,8.8,"Madrid City Center, Madrid",Excellent ,323 reviews,"Price 1,041 zł",0.5 km from center,Aloft Queen Room,4,,Location 9.7
698,Hotel Freedom,8.5,"Madrid City Center, Madrid",Very Good ,671 reviews,Price 727 zł,0.6 km from center,Twin Room,2,,Location 9.5
699,Ibis Madrid Centro,8.5,"Madrid City Center, Madrid",Very Good ,"1,358 reviews",Price 671 zł,1.3 km from center,Double Room,2,,Location 9.4
700,AC Hotel Recoletos by Marriott,8.7,"Salamanca, Madrid",Excellent ,114 reviews,"Price 1,228 zł",1.3 km from center,"Standard room, Guest room, 1 King",4,,Location 9.7
701,DWO Yuste Alcalá,8.7,"San Blas, Madrid",Excellent ,424 reviews,Price 637 zł,7.1 km from center,Double Room,3,,
702,Art Seven Hostel Capsules,8.2,"Madrid City Center, Madrid",Very Good ,"1,551 reviews",Price 264 zł,400 m from center, Single Capsule Pod in Mixed Dormitory,0,,Location 9.5
703,HOSTEL H8,5.4,"Carabanchel, Madrid",Review score ,671 reviews,Price 117 zł,3.4 km from center,Bed in 4-Bed Dormitory Room,0,,
704,Hotel Europa,8.6,"Madrid City Center, Madrid",Excellent ,"2,410 reviews",Price 774 zł,100 m from center,Double or Twin Room,3,,Location 9.7
705,Metropolitan Atocha,5.6,"Arganzuela, Madrid",Review score ,"1,044 reviews",Price 352 zł,1.3 km from center,Twin Room with Shared Bathroom,0,,
706,Marina Rooms,8.5,"Madrid City Center, Madrid",Very Good ,916 reviews,Price 563 zł,150 m from center,Exterior Double Room,3,,Location 9.8
707,Hostal Valencia Madrid,7.9,"Madrid City Center, Madrid",Good ,"2,123 reviews",Price 563 zł,450 m from center,Double Room,3,,Location 9.7
708,Pestana Plaza Mayor Madrid,9.0,"Madrid City Center, Madrid",Wonderful ,"3,534 reviews","Price 1,192 zł",400 m from center,Standard Room,4,,Location 9.8
709,Habitaciones en la Plaza de Toros Ventas Madrid,8.1,"Salamanca, Madrid",Very Good ,56 reviews,Price 258 zł,3.9 km from center,Large Single Room,0,,
710,Casa de Huéspedes Almansa,7.0,"Tetuan, Madrid",Good ,210 reviews,Price 456 zł,3.6 km from center,Single Room with Shared Bathroom,0,,
711,Suite Prado,8.5,"Madrid City Center, Madrid",Very Good ,758 reviews,Original price 938 zł. Current price 877 zł.,400 m from center,One-Bedroom Apartment,4,,Location 9.6
712,Hostal Santa Barbara,6.8,"Madrid City Center, Madrid",Review score ,"1,347 reviews",Original price 582 zł. Current price 544 zł.,1.3 km from center,Single Room,2,,
713,Eco Via Lusitana,8.0,"Carabanchel, Madrid",Very Good ,"2,802 reviews",Price 422 zł,5.9 km from center,Twin Room,3,,
714,The Madrid EDITION,9.3,"Madrid City Center, Madrid",Wonderful ,98 reviews,"Price 2,457 zł",250 m from center,Superior King Room,5,,Location 9.6
715,Hostal Galaico,8.6,"Madrid City Center, Madrid",Excellent ,355 reviews,Price 583 zł,450 m from center,Deluxe Room,2,,Location 9.8
716,The Central House Lavapiés,9.1,"Madrid City Center, Madrid",Wonderful ,"2,458 reviews",Price 190 zł,0.7 km from center,Bed in 8-Bed Mixed Dormitory Room,0,,Location 9.4
717,Room Mate Mario,8.6,"Madrid City Center, Madrid",Excellent ,"1,994 reviews",Price 840 zł,0.6 km from center,Double or Twin Room,2,,Location 9.7
718,E-Kilibrio Hotel & Apart-Suites,8.4,"Usera, Madrid",Very Good ,18 reviews,Original price 610 zł. Current price 570 zł.,4.4 km from center,Studio,4,,
719,Hostal Vara Madrid,8.3,"Arganzuela, Madrid",Very Good ,168 reviews,Original price 663 zł. Current price 620 zł.,2.6 km from center,Twin Room,3,,
720,Hostal Alexis Madrid,8.7,"Madrid City Center, Madrid",Excellent ,"2,326 reviews",Price 821 zł,300 m from center,Premium Double Room,3,,Location 9.6
721,AC Hotel Recoletos by Marriott,8.7,"Salamanca, Madrid",Excellent ,114 reviews,"Price 1,228 zł",1.3 km from center,"Standard room, Guest room, 1 King",4,,Location 9.7
722,Valdavia Habitaciones,6.1,Madrid,Review score ,81 reviews,Original price 188 zł. Current price 175 zł.,15 km from center,Single Room,0,,
723,Lux Apartment 3BD,,Madrid,,,Original price 412 zł. Current price 329 zł.,5.5 km from center,One-Bedroom Apartment,0,,
724,Edificio Leganitos,7.8,"Madrid City Center, Madrid",Good ,334 reviews,Original price 675 zł. Current price 637 zł.,0.8 km from center,Standard Apartment,3,,Location 9.3
725,The First One Madrid Preciados,8.6,"Madrid City Center, Madrid",Excellent ,948 reviews,"Original price 1,073 zł. Current price 903 zł.",500 m from center,Superior Double Room,4,,Location 9.7
726,Akeah Hotel Gran Vía Adults Only,8.5,"Madrid City Center, Madrid",Very Good ,665 reviews,"Original price 1,629 zł. Current price 1,523 zł.",1 km from center,Double Room,3,,Location 9.4
727,La Posada de El Chaflán,6.8,"Chamartín, Madrid",Review score ,"1,181 reviews",Original price 446 zł. Current price 417 zł.,6.1 km from center,Single Room,3,,
728,Vincci Capitol,8.7,"Madrid City Center, Madrid",Excellent ,"6,311 reviews","Original price 2,323 zł. Current price 2,090 zł.",500 m from center,Double or Twin Room,4,,Location 9.7
729,Travelodge Torrelaguna,7.9,"Ciudad Lineal, Madrid",Good ,"2,360 reviews",Price 422 zł,5.1 km from center,Double Room,3,,
730,Sterling,8.0,"Madrid City Center, Madrid",Very Good ,"1,303 reviews",Original price 894 zł. Current price 836 zł.,0.8 km from center,Economy Double or Twin Room,3,,Location 9.6
731,SmartRental Gran Via 47,7.3,"Madrid City Center, Madrid",Good ,"2,876 reviews",Original price 887 zł. Current price 829 zł.,0.6 km from center,Studio with Sofa Bed,3,,Location 9.5
732,Hostal Internacional,8.5,"Madrid City Center, Madrid",Very Good ,585 reviews,Price 422 zł,350 m from center,Single Room with Shared Toilet,0,,Location 9.7
733,HOSTEL H8,5.4,"Carabanchel, Madrid",Review score ,671 reviews,Price 117 zł,3.4 km from center,Bed in 4-Bed Dormitory Room,0,,
734,Quatro Puerta del Sol,8.1,"Madrid City Center, Madrid",Very Good ,"1,393 reviews","Price 1,025 zł",300 m from center,Double single use,4,,Location 9.6
735,Metropolitan Atocha,5.6,"Arganzuela, Madrid",Review score ,"1,044 reviews",Price 352 zł,1.3 km from center,Twin Room with Shared Bathroom,0,,
736,"URSO Hotel & Spa, a Small Luxury Hotel of the World",9.0,"Madrid City Center, Madrid",Wonderful ,649 reviews,"Price 1,981 zł",1.2 km from center,Double or Twin Room,5,,Location 9.4
737,Ok Hostel Madrid,8.9,"Madrid City Center, Madrid",Excellent ,"6,407 reviews",Price 159 zł,0.7 km from center,Bed in 4-Bed Female Dormitory Room,0,,Location 9.6
738,"Hotel Madrid Gran Via 25, Affiliated by Meliá",8.0,"Madrid City Center, Madrid",Very Good ,"2,271 reviews",Price 845 zł,350 m from center,Double or Twin Room,3,,Location 9.6
739,Hostal PETITE MAMAN,8.0,"Madrid City Center, Madrid",Very Good ,"1,887 reviews",Price 550 zł,300 m from center,Superior Double or Twin Room,3,,Location 9.4
740,Hostal Las Vegas,7.6,"Tetuan, Madrid",Good ,470 reviews,Price 379 zł,3.6 km from center,Double Room with Extra Bed,1,,
741,Hostal Rías Bajas,8.5,"Madrid City Center, Madrid",Very Good ,"1,305 reviews",Price 967 zł,0.8 km from center,Exterior Double Room,2,,Location 9.5
742,Apartamentos TH La Florida,7.8,"Moncloa-Aravaca, Madrid",Good ,"1,358 reviews",Price 352 zł,10 km from center,Double or Twin Room,3,,
743,Mayerling Hotel,8.5,"Madrid City Center, Madrid",Very Good ,"1,359 reviews","Original price 1,098 zł. Current price 878 zł.",350 m from center,Large Single Room,2,,Location 9.5
744,Hostal Madrid Paradise,6.6,"Chamartín, Madrid",Review score ,362 reviews,Price 175 zł,3.4 km from center,Bed in 6-Bed Mixed Dormitory Room,0,,
745,Petit Palace Cliper-Gran Vía,8.4,"Madrid City Center, Madrid",Very Good ,"2,370 reviews",Price 798 zł,350 m from center,Small Double Room  (1-2 Adults),3,,Location 9.7
746,"Hotel Único Madrid, Small Luxury Hotels",8.9,"Salamanca, Madrid",Excellent ,164 reviews,"Price 2,013 zł",2 km from center,Standard Double Room,5,,Location 9.8
747,Suites Barrio de Salamanca,8.4,"Salamanca, Madrid",Very Good ,729 reviews,Price 694 zł,2.6 km from center,Standard Double Room,4,,Location 9.4
748,Salomé,8.9,"Madrid City Center, Madrid",Excellent ,379 reviews,Original price 934 zł. Current price 747 zł.,0.9 km from center,Double Room,3,,Location 9.7
749,Monopoly Madrid by gaiarooms,8.1,"Tetuan, Madrid",Very Good ,433 reviews,Price 798 zł,5 km from center,Studio Apartment,3,,
750,Hostal Avenida,8.9,"Madrid City Center, Madrid",Excellent ,826 reviews,Price 938 zł,400 m from center,Twin Room with Private Bathroom,2,,Location 9.9
751,Lotus Opera House,7.9,"Madrid City Center, Madrid",Good ,"1,801 reviews",Price 633 zł,450 m from center,Twin Room with City View,3,,Location 9.6
752,Casa de Huéspedes Almansa,7.0,"Tetuan, Madrid",Good ,210 reviews,Price 456 zł,3.6 km from center,Single Room with Shared Bathroom,0,,
753,Hostal Paquita,8.1,"Fuencarral-El Pardo, Madrid",Very Good ,583 reviews,Price 328 zł,7.3 km from center,Double or Twin Room,1,,
754,Senator Castellana,8.3,"Tetuan, Madrid",Very Good ,"1,934 reviews",Price 756 zł,4.7 km from center,Double Single Use Standard,3,,
755,Motion Chueca,5.3,"Madrid City Center, Madrid",Review score ,"3,382 reviews",Price 179 zł,0.6 km from center,Bunk Bed in Mixed Dormitory Room,0,Breakfast included,
756,A&Z SIERRA DE MEIRA,6.5,"Puente de Vallecas, Madrid",Review score ,"1,030 reviews",Price 285 zł,3.9 km from center,Single Room with Shared Bathroom,0,,
757,Hostel MYD La Latina,6.3,"Madrid City Center, Madrid",Review score ,"1,506 reviews",Price 175 zł,1.1 km from center,Bunk Bed in Mixed Dormitory Room,0,,
758,Boutique Urban Madrid Génova,6.8,"Chamberi, Madrid",Review score ,"1,992 reviews",Price 443 zł,1.5 km from center,Superior Double Room,3,,
759,JQC Rooms,7.3,"Madrid City Center, Madrid",Good ,"2,255 reviews",Price 568 zł,200 m from center,Single Room with Private Bathroom,3,,
760,H-A San Mateo Suites,7.5,"Madrid City Center, Madrid",Good ,670 reviews,Price 686 zł,1.1 km from center,Triple Room,0,,
761,Behap Madrid Gran Vía,7.0,"Madrid City Center, Madrid",Good ,"1,455 reviews",Price 780 zł,0.7 km from center,Budget One-Bedroom Apartment,3,,
762,Hostal Avenida,8.9,"Madrid City Center, Madrid",Excellent ,826 reviews,Price 938 zł,400 m from center,Twin Room with Private Bathroom,2,,Location 9.9
763,Scout Madrid Hostel,8.3,"Moratalaz, Madrid",Very Good ,145 reviews,Price 195 zł,4.2 km from center,Bed in 6-Bed Mixed Dormitory Room with Shared Bathroom,0,Breakfast included,
764,Apartamentos Serrano Recoletos,7.6,"Salamanca, Madrid",Good ,"3,412 reviews",Price 775 zł,1.3 km from center,Apartment,3,,Location 9.5
765,Monopoly Madrid by gaiarooms,8.1,"Tetuan, Madrid",Very Good ,433 reviews,Price 798 zł,5 km from center,Studio Apartment,3,,
766,Travelodge Torrelaguna,7.9,"Ciudad Lineal, Madrid",Good ,"2,360 reviews",Price 422 zł,5.1 km from center,Double Room,3,,
767,Hostal Abitum Madrid,7.5,"Tetuan, Madrid",Good ,"1,096 reviews",Price 352 zł,3.7 km from center,Single Room,2,,
768,Hostal Paquita,8.1,"Fuencarral-El Pardo, Madrid",Very Good ,583 reviews,Price 328 zł,7.3 km from center,Double or Twin Room,1,,
769,The Social Hub Madrid,8.7,"Moncloa-Aravaca, Madrid",Excellent ,406 reviews,Price 714 zł,1.2 km from center,Standard King Room,0,,
770,Luz Madrid Rooms,8.3,"Madrid City Center, Madrid",Very Good ,581 reviews,"Price 1,056 zł",450 m from center,Double Room,0,,Location 9.6
771,Luxury apartment design BuggyBerontax,,Madrid,,,Original price 950 zł. Current price 760 zł.,3.3 km from center,Suite,0,,
772,AC Hotel Cuzco by Marriott,8.7,"Tetuan, Madrid",Excellent ,972 reviews,Price 834 zł,4.8 km from center,"Standard Room King, Guest room, 1 King, City view",4,,
773,Hostal Asunción,6.9,"Madrid City Center, Madrid",Review score ,"1,924 reviews",Price 469 zł,1.3 km from center,Economy Single Room,2,,
774,Piso centro GRAN VÍA,6.3,"Madrid City Center, Madrid",Review score ,26 reviews,Price 507 zł,0.6 km from center,Apartment,0,,
775,"The Principal Madrid, Small Luxury Hotels",8.7,"Madrid City Center, Madrid",Excellent ,576 reviews,"Price 1,696 zł",0.6 km from center,Executive Double or Twin Room,5,,Location 9.5
776,"Hotel Único Madrid, Small Luxury Hotels",8.9,"Salamanca, Madrid",Excellent ,164 reviews,"Price 2,013 zł",2 km from center,Standard Double Room,5,,Location 9.8
777,Salomé,8.9,"Madrid City Center, Madrid",Excellent ,379 reviews,Original price 934 zł. Current price 747 zł.,0.9 km from center,Double Room,3,,Location 9.7
778,Elegant retreat business district Bernabéu,9.8,"Tetuan, Madrid",Exceptional ,28 reviews,"Price 1,038 zł",4.3 km from center,Apartment,4,,Location 9.9
779,Vitium Urban Suites,8.0,"Madrid City Center, Madrid",Very Good ,850 reviews,Price 558 zł,0.8 km from center,Double Room Single Use,3,,Location 9.5
